tile_id,row,col,valid_pixels,changed_pixels,change_pct,changed_area_ha,changed_area_km2
0,0,0,13395600,1621365,12.1037,16213.65,162.1365
1,0,1,13395600,1825555,13.628,18255.55,182.5555
2,0,2,13395600,809239,6.0411,8092.39,80.9239
3,1,0,13395600,1839205,13.7299,18392.05,183.9205
4,1,1,13395600,1862543,13.9041,18625.43,186.2543
5,1,2,13395600,2374894,17.7289,23748.94,237.4894
6,2,0,13395600,545607,4.073,5456.07,54.5607
7,2,1,13395600,3425874,25.5746,34258.74,342.5874
8,2,2,13395600,1387923,10.361,13879.23,138.7923
